GRID_Xe=343
GRID_Xv=173
Process uses GPU with id 0.
Starting PT loop, nbe=87653, nbv=44229
iter=100, err=5.57869
iter=200, err=4.38675
iter=300, err=3.46698
iter=400, err=2.80597
iter=500, err=2.67739
iter=600, err=2.5276
iter=700, err=2.3631
iter=800, err=2.19989
iter=900, err=2.04841
iter=1000, err=1.90755
iter=1100, err=1.77326
iter=1200, err=1.64349
iter=1300, err=1.51771
iter=1400, err=1.48416
iter=1500, err=1.4849
iter=1600, err=1.48517
iter=1700, err=1.48482
iter=1800, err=1.48371
iter=1900, err=1.48174
iter=2000, err=1.4788
iter=2100, err=1.47481
iter=2200, err=1.4697
iter=2300, err=1.46337
iter=2400, err=1.45557
iter=2500, err=1.44568
iter=2600, err=1.43206
iter=2700, err=1.41048
iter=2800, err=1.28034
iter=2900, err=0.856687
iter=3000, err=0.848341
iter=3100, err=0.837098
iter=3200, err=0.82095
iter=3300, err=0.797662
iter=3400, err=0.76694
iter=3500, err=0.733131
iter=3600, err=0.698643
iter=3700, err=0.663404
iter=3800, err=0.626975
iter=3900, err=0.589168
iter=4000, err=0.561105
iter=4100, err=0.541661
iter=4200, err=0.522887
iter=4300, err=0.537599
iter=4400, err=0.55282
iter=4500, err=0.560378
iter=4600, err=0.561366
iter=4700, err=0.558158
iter=4800, err=0.551821
iter=4900, err=0.542859
iter=5000, err=0.531532
iter=5100, err=0.517876
iter=5200, err=0.501817
iter=5300, err=0.506221
iter=5400, err=0.510638
iter=5500, err=0.511626
iter=5600, err=0.508983
iter=5700, err=0.503052
iter=5800, err=0.494793
iter=5900, err=0.485412
iter=6000, err=0.475889
iter=6100, err=0.466776
iter=6200, err=0.458903
iter=6300, err=0.499932
iter=6400, err=0.54023
iter=6500, err=0.564624
iter=6600, err=0.579744
iter=6700, err=0.590293
iter=6800, err=0.599529
iter=6900, err=0.60895
iter=7000, err=0.617261
iter=7100, err=0.620996
iter=7200, err=0.616471
iter=7300, err=0.601324
iter=7400, err=0.576546
iter=7500, err=0.546636
iter=7600, err=0.515155
iter=7700, err=0.497884
iter=7800, err=0.500378
iter=7900, err=0.502836
iter=8000, err=0.505254
iter=8100, err=0.507626
iter=8200, err=0.509948
iter=8300, err=0.512217
iter=8400, err=0.514431
iter=8500, err=0.516587
iter=8600, err=0.518685
iter=8700, err=0.520722
iter=8800, err=0.5227
iter=8900, err=0.524616
iter=9000, err=0.52647
iter=9100, err=0.528263
iter=9200, err=0.529994
iter=9300, err=0.531664
iter=9400, err=0.533273
iter=9500, err=0.534822
iter=9600, err=0.536309
iter=9700, err=0.537738
